action,month,day,hour,count,sum,avg,std,step
TRANSFER,0,0,0,1,36.73,36.73,0.00,0
CASH_OUT,0,0,0,1,36.73,36.73,0.00,0
CASH_IN,0,0,1,4365,604216895.41,138423.11,1206.27,1
PAYMENT,0,0,1,38,232657.04,6122.55,566.96,1
DEBIT,0,0,1,12,57500.38,4791.70,993.01,1
TRANSFER,0,0,1,2,498498.09,249249.04,28872.77,1
CASH_OUT,0,0,1,1,228832.91,228832.91,0.00,1
CASH_IN,0,0,2,827,117496641.10,142075.74,2808.63,2
PAYMENT,0,0,2,8,47214.69,5901.84,1302.68,2
DEBIT,0,0,2,2,3220.07,1610.03,2.29,2
TRANSFER,0,0,2,2,105.87,52.94,46.58,2
CASH_OUT,0,0,2,2,62876.94,31438.47,44339.27,2
CASH_IN,0,0,3,9,1270978.85,141219.87,30947.91,3
PAYMENT,0,0,3,1,12265.86,12265.86,0.00,3
DEBIT,0,0,3,1,10801.32,10801.32,0.00,3
TRANSFER,0,0,3,2,97.12,48.56,40.39,3
CASH_OUT,0,0,3,1,77.12,77.12,0.00,3
TRANSFER,0,0,4,4,21411.04,5352.76,6133.65,4
CASH_OUT,0,0,4,2,21381.04,10690.52,14987.60,4
TRANSFER,0,0,5,2,28797.55,14398.77,20265.75,5
CASH_OUT,0,0,5,2,28797.55,14398.77,20265.75,5
CASH_IN,0,0,6,1641,235147695.28,143295.37,2013.81,6
PAYMENT,0,0,6,12,73560.11,6130.01,688.43,6
DEBIT,0,0,6,6,26018.22,4336.37,1898.17,6
TRANSFER,0,0,6,1,20.00,20.00,0.00,6
CASH_OUT,0,0,6,1,40988.79,40988.79,0.00,6
CASH_IN,0,0,7,10859,1477039388.44,136019.84,765.75,7
PAYMENT,0,0,7,71,468472.84,6598.21,450.51,7
DEBIT,0,0,7,56,306902.23,5480.40,534.82,7
TRANSFER,0,0,7,1,1.12,1.12,0.00,7
CASH_OUT,0,0,7,18,2091031.00,116168.39,18964.74,7
CASH_IN,0,0,8,29196,3992297893.04,136741.26,462.76,8
PAYMENT,0,0,8,205,1538879.35,7506.73,314.62,8
DEBIT,0,0,8,139,1337918.66,9625.31,658.17,8
TRANSFER,0,0,8,11,2090936.99,190085.18,59205.96,8
CASH_OUT,0,0,8,87,11026312.85,126739.23,7606.05,8
CASH_IN,0,0,9,41659,5774980326.18,138625.03,392.34,9
PAYMENT,0,0,9,766,5958793.76,7779.10,161.09,9
DEBIT,0,0,9,232,2180979.45,9400.77,435.73,9
TRANSFER,0,0,9,113,58145503.59,514561.98,30573.72,9
CASH_OUT,0,0,9,600,83555668.65,139259.45,3134.90,9
CASH_IN,0,0,10,26035,3667523715.14,140868.97,500.42,10
PAYMENT,0,0,10,1057,8436881.61,7981.91,134.31,10
DEBIT,0,0,10,185,1862157.31,10065.72,534.94,10
TRANSFER,0,0,10,243,134553178.17,553716.78,21998.72,10
CASH_OUT,0,0,10,1031,146338056.28,141937.98,2310.52,10
CASH_IN,0,0,11,24886,3503597883.37,140785.90,512.01,11
PAYMENT,0,0,11,1612,13177385.81,8174.56,117.19,11
DEBIT,0,0,11,197,2469095.90,12533.48,678.71,11
TRANSFER,0,0,11,364,179913746.45,494268.53,15004.85,11
CASH_OUT,0,0,11,1617,232259249.32,143635.90,1847.18,11
CASH_IN,0,0,12,21989,3107015736.73,141298.64,546.04,12
PAYMENT,0,0,12,2117,16927348.78,7995.91,100.25,12
DEBIT,0,0,12,176,3267550.89,18565.63,1046.77,12
TRANSFER,0,0,12,522,236854941.53,453745.10,11662.58,12
CASH_OUT,0,0,12,2139,296633021.49,138678.36,1554.30,12
CASH_IN,0,0,13,22471,3175844454.25,141330.80,538.21,13
PAYMENT,0,0,13,2787,23027569.58,8262.49,87.15,13
DEBIT,0,0,13,230,1393358.76,6058.08,320.63,13
TRANSFER,0,0,13,676,270103777.37,399561.80,8924.31,13
CASH_OUT,0,0,13,2994,402163608.43,134323.18,1268.71,13
CASH_IN,0,0,14,24726,3423447785.58,138455.38,500.87,14
PAYMENT,0,0,14,3800,27888963.21,7339.20,66.55,14
DEBIT,0,0,14,320,1929861.40,6030.82,238.62,14
TRANSFER,0,0,14,970,361204259.80,372375.53,7299.97,14
CASH_OUT,0,0,14,4074,550360886.91,135091.04,1133.20,14
CASH_IN,0,0,15,26076,3548262680.14,136073.89,480.72,15
PAYMENT,0,0,15,4867,36953278.60,7592.62,59.67,15
DEBIT,0,0,15,386,4085380.47,10583.89,374.12,15
TRANSFER,0,0,15,1271,488223155.12,384125.22,6648.26,15
CASH_OUT,0,0,15,5427,712801072.68,131343.48,1104.19,15
CASH_IN,0,0,16,21662,2986419876.19,137864.46,529.85,16
PAYMENT,0,0,16,4758,35646683.52,7491.95,59.97,16
DEBIT,0,0,16,384,2702765.85,7038.45,265.96,16
TRANSFER,0,0,16,1254,559181998.72,445918.66,7995.44,16
CASH_OUT,0,0,16,5246,689016754.39,131341.36,926.49,16
CASH_IN,0,0,17,22499,3081237043.12,136949.96,518.41,17
PAYMENT,0,0,17,5652,41535066.46,7348.74,54.04,17
DEBIT,0,0,17,461,3570776.23,7745.72,262.85,17
TRANSFER,0,0,17,1499,575750868.88,384089.97,6046.28,17
CASH_OUT,0,0,17,6140,782729851.76,127480.43,921.57,17
CASH_IN,0,0,18,26713,3630602632.71,135911.45,472.63,18
PAYMENT,0,0,18,7919,55463222.35,7003.82,43.87,18
DEBIT,0,0,18,563,3662831.68,6505.92,197.66,18
TRANSFER,0,0,18,1901,710217729.76,373602.17,4929.95,18
CASH_OUT,0,0,18,8656,1060954646.69,122568.70,659.76,18
CASH_IN,0,0,19,23602,3208030432.30,135921.97,499.50,19
PAYMENT,0,0,19,7699,57621605.80,7484.30,49.33,19
DEBIT,0,0,19,576,4554382.10,7906.91,232.51,19
TRANSFER,0,0,19,1993,858802139.54,430909.25,6548.96,19
CASH_OUT,0,0,19,8246,1036356730.53,125679.93,998.77,19
CASH_IN,0,0,20,18281,2465847529.73,134885.81,565.37,20
PAYMENT,0,0,20,6490,52991662.00,8165.13,57.49,20
DEBIT,0,0,20,445,5206995.24,11701.11,431.23,20
TRANSFER,0,0,20,1701,839895330.59,493765.63,7569.03,20
CASH_OUT,0,0,20,7031,913242780.21,129888.04,830.61,20
CASH_IN,0,0,21,14813,1996828842.39,134802.46,626.58,21
PAYMENT,0,0,21,5887,47132916.26,8006.27,60.34,21
DEBIT,0,0,21,409,3468361.50,8480.10,300.03,21
TRANSFER,0,0,21,1457,679960219.37,466685.12,7578.04,21
CASH_OUT,0,0,21,5428,725102226.79,133585.52,1130.25,21
CASH_IN,0,0,22,11227,1520051895.20,135392.53,718.69,22
PAYMENT,0,0,22,4882,39983837.40,8190.05,68.12,22
DEBIT,0,0,22,344,2448258.41,7117.03,258.51,22
