action,high,low,total,freq
PAYMENT,3,3,2196,0.10980
DEBIT,1,1,12824,0.64120
DEBIT,100,299,8,0.00040
DEBIT,4,4,768,0.03840
CASH_OUT,1,1,10018,0.50090
DEBIT,2,2,3380,0.16900
CASH_IN,10,99,7244,0.36220
CASH_IN,5,9,848,0.04240
DEBIT,10,99,599,0.02995
CASH_IN,1500,4999,0,0.00000
TRANSFER,1500,4999,0,0.00000
CASH_OUT,10,99,348,0.01740
CASH_OUT,800,1499,1,0.00005
PAYMENT,1,1,5927,0.29635
CASH_IN,2,2,683,0.03415
TRANSFER,800,1499,0,0.00000
CASH_OUT,2,2,4541,0.22705
TRANSFER,3,3,1780,0.08900
DEBIT,3,3,1339,0.06695
DEBIT,5,9,1142,0.05710
PAYMENT,4,4,1592,0.07960
TRANSFER,100,299,8,0.00040
CASH_OUT,5,9,1426,0.07130
CASH_IN,100,299,7223,0.36115
CASH_IN,4,4,277,0.01385
CASH_OUT,100,299,168,0.00840
CASH_IN,3,3,399,0.01995
CASH_OUT,3,3,2385,0.11925
TRANSFER,2,2,3875,0.19375
TRANSFER,4,4,1040,0.05200
TRANSFER,10,99,821,0.04105
PAYMENT,10,99,1032,0.05160
CASH_OUT,300,799,41,0.00205
TRANSFER,5,9,1734,0.08670
TRANSFER,1,1,10803,0.54015
DEBIT,10000,200000,1,0.00005
CASH_IN,1,1,1610,0.08050
PAYMENT,300,799,0,0.00000
CASH_IN,300,799,1727,0.08635
PAYMENT,2,2,3140,0.15700
PAYMENT,100,299,2,0.00010
CASH_IN,800,1499,50,0.00250
CASH_OUT,4,4,1133,0.05665
TRANSFER,300,799,0,0.00000
PAYMENT,5,9,6172,0.30860
